Skipping:
pos == (0, 0)
pos == (0, 0)
Solution to puzzle: 1001
         7448013 function calls (7445700 primitive calls) in 8.759 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.009    0.009 inspect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       20    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      209    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      176    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      465    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.060    0.030 shape_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       45    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.008    0.008 __init__.py:17(<module>)
       49    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       74    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      336    0.000    0.000    0.000    0.000 enum.py:393(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2589(MaskedIterator)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      399    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        2    0.000    0.000    0.037    0.019 polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.060    0.060 linalg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1025(Path)
       27    0.000    0.000    0.000    0.000 enum.py:938(__and__)
      218    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       64    0.000    0.000    0.000    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
       71    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.005    0.005 twodim_base.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      423    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.434    0.434 multiarray.py:1(<module>)
        1    0.000    0.000    0.032    0.032 _methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.053    0.053 _pocketfft.py:1(<module>)
       45    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       64    0.000    0.000    0.000    0.000 enum.py:631(__new__)
       27    0.000    0.000    0.006    0.000 sre_compile.py:598(_code)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      396    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      929    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       13    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
    28/23    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 ExifTags.py:20(Base)
       34    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.138    0.138 index_tricks.py:1(<module>)
       26    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
